fips,cases,cases.per.year,cases.per.decade
1001,2,0.125,1.25
1003,4,0.25,2.5
1007,1,0.0625,0.625
1011,1,0.0625,0.625
1013,3,0.1875,1.875
1021,1,0.0625,0.625
1023,3,0.1875,1.875
1025,3,0.1875,1.875
1031,3,0.1875,1.875
1035,3,0.1875,1.875
1037,1,0.0625,0.625
1039,3,0.1875,1.875
1041,3,0.1875,1.875
1045,3,0.1875,1.875
1047,2,0.125,1.25
1051,1,0.0625,0.625
1053,4,0.25,2.5
1057,1,0.0625,0.625
1059,1,0.0625,0.625
1061,4,0.25,2.5
1063,2,0.125,1.25
1065,2,0.125,1.25
1067,2,0.125,1.25
1069,3,0.1875,1.875
1075,1,0.0625,0.625
1085,2,0.125,1.25
1091,3,0.1875,1.875
1093,1,0.0625,0.625
1097,6,0.375,3.75
1099,3,0.1875,1.875
1101,2,0.125,1.25
1105,2,0.125,1.25
1107,1,0.0625,0.625
1109,3,0.1875,1.875
1119,2,0.125,1.25
1125,1,0.0625,0.625
1129,4,0.25,2.5
1131,2,0.125,1.25
5005,1,0.0625,0.625
5049,1,0.0625,0.625
5065,1,0.0625,0.625
5071,1,0.0625,0.625
5081,1,0.0625,0.625
5089,1,0.0625,0.625
5101,1,0.0625,0.625
5115,1,0.0625,0.625
5129,1,0.0625,0.625
5133,1,0.0625,0.625
5135,1,0.0625,0.625
5137,1,0.0625,0.625
5141,1,0.0625,0.625
5149,1,0.0625,0.625
9001,4,0.25,2.5
9003,3,0.1875,1.875
9005,2,0.125,1.25
9007,3,0.1875,1.875
9009,3,0.1875,1.875
9011,3,0.1875,1.875
9013,3,0.1875,1.875
9015,3,0.1875,1.875
10001,3,0.1875,1.875
10003,3,0.1875,1.875
10005,4,0.25,2.5
11001,2,0.125,1.25
12001,6,0.375,3.75
12003,5,0.3125,3.125
12005,5,0.3125,3.125
12007,6,0.375,3.75
12009,8,0.5,5
12011,8,0.5,5
12013,3,0.1875,1.875
12015,6,0.375,3.75
12017,6,0.375,3.75
12019,5,0.3125,3.125
12021,9,0.5625,5.625
12023,6,0.375,3.75
12027,6,0.375,3.75
12029,6,0.375,3.75
12031,5,0.3125,3.125
12033,5,0.3125,3.125
12035,4,0.25,2.5
12037,5,0.3125,3.125
12039,3,0.1875,1.875
12041,5,0.3125,3.125
12043,8,0.5,5
12045,4,0.25,2.5
12047,4,0.25,2.5
12049,6,0.375,3.75
12051,8,0.5,5
12053,4,0.25,2.5
12055,7,0.4375,4.375
12057,5,0.3125,3.125
12059,5,0.3125,3.125
12061,7,0.4375,4.375
12063,3,0.1875,1.875
12065,2,0.125,1.25
12067,6,0.375,3.75
12069,5,0.3125,3.125
12071,8,0.5,5
12073,2,0.125,1.25
12075,6,0.375,3.75
12077,3,0.1875,1.875
12079,3,0.1875,1.875
12081,5,0.3125,3.125
12083,5,0.3125,3.125
12085,7,0.4375,4.375
12086,8,0.5,5
12087,6,0.375,3.75
12089,5,0.3125,3.125
12091,4,0.25,2.5
12093,8,0.5,5
12095,5,0.3125,3.125
12097,5,0.3125,3.125
12099,7,0.4375,4.375
12101,5,0.3125,3.125
12103,5,0.3125,3.125
12105,5,0.3125,3.125
12107,4,0.25,2.5
12109,4,0.25,2.5
12111,8,0.5,5
12113,4,0.25,2.5
12115,6,0.375,3.75
12117,5,0.3125,3.125
12119,6,0.375,3.75
12121,5,0.3125,3.125
12123,4,0.25,2.5
12125,6,0.375,3.75
12127,6,0.375,3.75
12129,2,0.125,1.25
12131,4,0.25,2.5
12133,5,0.3125,3.125
13007,1,0.0625,0.625
13025,2,0.125,1.25
13027,2,0.125,1.25
13029,2,0.125,1.25
13039,4,0.25,2.5
13049,3,0.1875,1.875
