ccs_level_1_description,top,err.mean,err.mean.ll,err.mean.ul,ccs_level_3_description,order
Cardiovascular diseases,1,-0.003018028,-0.012547939,0.007319509,Cardiovascular diseases,1
Cardiovascular diseases,0,0.128828256,0.053741409,0.235458071,Other diseases of veins and lymphatics,2
Cardiovascular diseases,0,0.070069389,0.042082475,0.102744212,Acute myocardial infarction,4
Cardiovascular diseases,0,0.060298109,0.018764008,0.113831609,Pulmonary heart disease,5
Cardiovascular diseases,0,0.041625524,0.015734748,0.072279389,Nonspecific chest pain,6
Cardiovascular diseases,0,0.027941465,-0.017866293,0.093335503,Late effects of cerebrovascular disease,7
Cardiovascular diseases,0,0.011275721,-0.008468934,0.034365847,Stroke,8
Cardiovascular diseases,0,0.006379787,-0.019220236,0.038175334,Hypertension with complications and secondary hypertension,9
Cardiovascular diseases,0,0.005651697,-0.018569364,0.035384892,Transient cerebral ischemia,10
Cardiovascular diseases,0,0.005632866,-0.022137055,0.040899836,Other circulatory disease,11
Cardiovascular diseases,0,0.001708088,-0.034863202,0.053117482,Aortic and peripheral arterial embolism or thrombosis,12
Cardiovascular diseases,0,-0.023689014,-0.036772611,-0.008665197,Cardiac dysrhythmias,13
Cardiovascular diseases,0,-0.038152106,-0.06499846,0.000706052,Other and ill-defined cerebrovascular disease,14
Cardiovascular diseases,0,-0.04151721,-0.052326228,-0.029100529,Coronary atherosclerosis,15
Cardiovascular diseases,0,-0.050570076,-0.066122284,-0.030909841,Atherosclerosis,16
Cardiovascular diseases,0,-0.055431832,-0.072448807,-0.032904469,Conduction disorders,17
Cardiovascular diseases,0,-0.056527742,-0.07643748,-0.028455378,Hemorrhoids,19
Cardiovascular diseases,0,-0.070024521,-0.083118208,-0.052837297,Heart valve disorders,20
Cardiovascular diseases,0,-0.073456479,-0.086804327,-0.055444095,Essential hypertension,21
Cardiovascular diseases,0,-0.087288395,-0.095749804,-0.076379294,Occlusion or stenosis of precerebral arteries,22
Respiratory diseases,1,0.141671503,0.108969228,0.17894463,Respiratory diseases,24
Respiratory diseases,0,0.446899,0.365520131,0.541778887,COPD,25
Respiratory diseases,0,0.280177804,0.19065561,0.395089134,Asthma,26
Respiratory diseases,0,0.073196079,0.046979719,0.103408827,Pneumonia,28
Respiratory diseases,0,0.073041511,0.026536013,0.133819267,Other lower respiratory disease,29
Respiratory diseases,0,-0.009077393,-0.046008513,0.04512024,Acute bronchitis,30
Respiratory diseases,0,-0.085815271,-0.098816509,-0.066358353,Other upper respiratory disease,31
Respiratory diseases,0,-0.087953982,-0.101120797,-0.067527082,Other upper respiratory infections,32
Cancers,1,-0.044433697,-0.057619757,-0.028667174,Cancers,34
Cancers,0,0.104657104,0.03992496,0.194796259,Leukemias,36
Cancers,0,0.068430972,0.009134952,0.153939534,Brain and nervous system,37
Cancers,0,0.048098625,0.000795665,0.113188922,Pancreas,38
Cancers,0,-0.010986087,-0.033472457,0.017024705,Secondary malignancies,39
Cancers,0,-0.013529394,-0.045931007,0.032150046,Rectum and anus,40
Cancers,0,-0.020541371,-0.04824054,0.017153231,Bladder,41
Cancers,0,-0.027016636,-0.054196432,0.010596835,Cancers of unspecified nature or uncertain behavior,42
Cancers,0,-0.03013157,-0.059395005,0.012184966,Head and neck,43
Cancers,0,-0.032213051,-0.060039291,0.007532694,Stomach,44
Cancers,0,-0.042325719,-0.065944408,-0.009260973,Non-Hodgkin's lymphoma,45
Cancers,0,-0.05725858,-0.073915457,-0.035170481,Other (benign),46
Cancers,0,-0.069704702,-0.087972372,-0.042424634,Ovary,50
Cancers,0,-0.070313616,-0.083598037,-0.052766695,Colon,51
Cancers,0,-0.071054161,-0.088011761,-0.046322192,Uterus,52
Cancers,0,-0.077039096,-0.090390751,-0.058536602,Prostate,53
Cancers,0,-0.082140766,-0.094184864,-0.065389231,Breast,54
Cancers,0,-0.0969542,-0.105719383,-0.084204267,Kidney and renal pelvis,56
Injuries,1,0.086884964,0.059922162,0.11777911,Injuries,67
Injuries,0,0.788960621,0.555564968,1.102397907,Other injuries and conditions due to external causes,70
