lag,rr,rr.ll.bfc,rr.ul.bfc,ccs_level_1_description,type,lag.factor
0,0.687860619,0.572824953,0.825997939,Neuropsychiatric disorders,Not Emergency,0
1,0.964917094,0.833736342,1.116737931,Neuropsychiatric disorders,Not Emergency,1
2,1.082165321,0.940985302,1.244527178,Neuropsychiatric disorders,Not Emergency,2
3,1.052343548,0.913980525,1.21165267,Neuropsychiatric disorders,Not Emergency,3
4,0.985628528,0.856726248,1.133925332,Neuropsychiatric disorders,Not Emergency,4
5,1.004312998,0.869940588,1.159440784,Neuropsychiatric disorders,Not Emergency,5
6,1.146421835,0.994001086,1.322214878,Neuropsychiatric disorders,Not Emergency,6
7,1.011973655,0.87032459,1.176676712,Neuropsychiatric disorders,Not Emergency,7
0,0.792041119,0.714125686,0.878457597,Neuropsychiatric disorders,Emergency,0
1,1.016860146,0.92951135,1.112417355,Neuropsychiatric disorders,Emergency,1
2,1.048043804,0.959333848,1.144956802,Neuropsychiatric disorders,Emergency,2
3,1.061106779,0.973720451,1.156335575,Neuropsychiatric disorders,Emergency,3
4,1.058684957,0.972649379,1.152330802,Neuropsychiatric disorders,Emergency,4
5,1.049790544,0.962540716,1.144949162,Neuropsychiatric disorders,Emergency,5
6,1.056677571,0.965594643,1.156352201,Neuropsychiatric disorders,Emergency,6
7,1.028306377,0.937328434,1.128114721,Neuropsychiatric disorders,Emergency,7
0,0.755324889,0.666942819,0.855419193,Injuries,Not Emergency,0
1,0.774888295,0.691102056,0.868832416,Injuries,Not Emergency,1
2,0.939947351,0.848234395,1.041576511,Injuries,Not Emergency,2
3,1.004354325,0.912426763,1.105543646,Injuries,Not Emergency,3
4,1.021986671,0.93176038,1.120949954,Injuries,Not Emergency,4
5,1.087847895,0.987870567,1.197943417,Injuries,Not Emergency,5
6,1.020655663,0.918551047,1.134110059,Injuries,Not Emergency,6
7,1.009665901,0.906557663,1.124501257,Injuries,Not Emergency,7
0,1.004219042,0.951412559,1.059956457,Injuries,Emergency,0
1,1.157778122,1.101508909,1.216921777,Injuries,Emergency,1
2,1.181602026,1.124909431,1.241151785,Injuries,Emergency,2
3,1.142705936,1.087453224,1.200765998,Injuries,Emergency,3
4,1.073073799,1.019584937,1.129368763,Injuries,Emergency,4
5,1.117225179,1.061980186,1.175344058,Injuries,Emergency,5
6,1.048912532,0.99512628,1.105605914,Injuries,Emergency,6
7,1.016471985,0.96323316,1.072653371,Injuries,Emergency,7
0,0.620108956,0.56071938,0.685788883,Musculoskeletal and connective tissue diseases,Not Emergency,0
1,0.737798772,0.680269517,0.80019318,Musculoskeletal and connective tissue diseases,Not Emergency,1
2,0.899462424,0.838392939,0.964980278,Musculoskeletal and connective tissue diseases,Not Emergency,2
3,0.944470338,0.883529201,1.00961487,Musculoskeletal and connective tissue diseases,Not Emergency,3
4,0.979237877,0.915177319,1.047782545,Musculoskeletal and connective tissue diseases,Not Emergency,4
5,1.043250528,0.969602114,1.122493082,Musculoskeletal and connective tissue diseases,Not Emergency,5
6,1.050276248,0.97027223,1.136877017,Musculoskeletal and connective tissue diseases,Not Emergency,6
7,0.982633165,0.905859571,1.06591349,Musculoskeletal and connective tissue diseases,Not Emergency,7
0,0.80562897,0.724822854,0.895443672,Musculoskeletal and connective tissue diseases,Emergency,0
1,0.97715365,0.889750795,1.073142346,Musculoskeletal and connective tissue diseases,Emergency,1
2,1.043765377,0.9556228,1.14003785,Musculoskeletal and connective tissue diseases,Emergency,2
3,1.038051988,0.950922814,1.133164453,Musculoskeletal and connective tissue diseases,Emergency,3
4,1.074052249,0.984031406,1.172308349,Musculoskeletal and connective tissue diseases,Emergency,4
5,1.119794567,1.024875002,1.223505179,Musculoskeletal and connective tissue diseases,Emergency,5
6,1.084324143,0.989590139,1.188127086,Musculoskeletal and connective tissue diseases,Emergency,6
7,1.026652055,0.934685316,1.127667702,Musculoskeletal and connective tissue diseases,Emergency,7
0,0.559165345,0.451302042,0.692808482,Skin and subcutaneous tissue diseases,Not Emergency,0
1,0.856431706,0.722504028,1.015185022,Skin and subcutaneous tissue diseases,Not Emergency,1
2,0.972313374,0.832663795,1.135384176,Skin and subcutaneous tissue diseases,Not Emergency,2
3,1.134637053,0.985242819,1.306684218,Skin and subcutaneous tissue diseases,Not Emergency,3
4,0.980162608,0.844815646,1.137193354,Skin and subcutaneous tissue diseases,Not Emergency,4
5,0.933724695,0.795584332,1.0958509,Skin and subcutaneous tissue diseases,Not Emergency,5
6,1.024283862,0.876408128,1.197110565,Skin and subcutaneous tissue diseases,Not Emergency,6
7,1.117529397,0.954882952,1.307879619,Skin and subcutaneous tissue diseases,Not Emergency,7
0,0.837842105,0.753200256,0.931995692,Skin and subcutaneous tissue diseases,Emergency,0
1,0.968524992,0.878192712,1.068148993,Skin and subcutaneous tissue diseases,Emergency,1
2,1.121620154,1.024296726,1.228190756,Skin and subcutaneous tissue diseases,Emergency,2
3,1.077271896,0.982664651,1.18098757,Skin and subcutaneous tissue diseases,Emergency,3
4,1.159812232,1.062135742,1.266471279,Skin and subcutaneous tissue diseases,Emergency,4
5,1.082122259,0.986025882,1.187584023,Skin and subcutaneous tissue diseases,Emergency,5
6,1.088403087,0.990896732,1.195504275,Skin and subcutaneous tissue diseases,Emergency,6
7,1.080287266,0.981933658,1.188492287,Skin and subcutaneous tissue diseases,Emergency,7
0,0.696532449,0.601187818,0.806998143,Genitourinary diseases,Not Emergency,0
1,0.797745268,0.701074818,0.907745501,Genitourinary diseases,Not Emergency,1
2,0.873584508,0.775691941,0.983831148,Genitourinary diseases,Not Emergency,2
3,1.083185091,0.975748953,1.202450627,Genitourinary diseases,Not Emergency,3
4,0.999568848,0.89952291,1.110742007,Genitourinary diseases,Not Emergency,4
5,1.010312617,0.903923344,1.129223612,Genitourinary diseases,Not Emergency,5
6,1.037149355,0.92030632,1.168826902,Genitourinary diseases,Not Emergency,6
7,0.918569184,0.806826147,1.0457883,Genitourinary diseases,Not Emergency,7
0,0.897668906,0.837914214,0.961684922,Genitourinary diseases,Emergency,0
1,0.975234419,0.913631437,1.040991075,Genitourinary diseases,Emergency,1
2,1.102493799,1.037085304,1.172027577,Genitourinary diseases,Emergency,2
3,1.081932228,1.017847299,1.150052024,Genitourinary diseases,Emergency,3
4,1.113220703,1.047654322,1.18289049,Genitourinary diseases,Emergency,4
5,1.047660901,0.983633686,1.115855809,Genitourinary diseases,Emergency,5
